"","x"
"1","TCGA-09-2044-01B-01D"
"2","TCGA-09-2044-01B-01W"
"3","TCGA-25-2396-01A-01D"
"4","TCGA-25-2396-01A-01W"
"5","TCGA-25-2397-01A-01D"
"6","TCGA-25-2397-01A-01W"
"7","TCGA-25-2398-01A-01D"
"8","TCGA-25-2398-01A-01W"
"9","TCGA-59-2348-01A-01D"
"10","TCGA-59-2348-01A-01W"
