"","Sampleid","Purity","Ploidy","Flagged","Comment","submitter_id","capture_kit"
"185","TCGA-23-1022-01A-02W",0.86,2.97402302375558,TRUE,"NOISY SEGMENTATION","TCGA-23-1022-01","S0293689"
"49","TCGA-23-1117-01A-02W",0.61,3.39269459745363,TRUE,"POTENTIAL SAMPLE CONTAMINATION","TCGA-23-1117-01","931070"
"298","TCGA-23-1117-01A-02W",0.63,3.46619363128893,TRUE,"NOISY SEGMENTATION","TCGA-23-1117-01","S0293689"
"50","TCGA-23-1118-01A-01W",0.51,5.08126496534309,TRUE,"NOISY SEGMENTATION","TCGA-23-1118-01","931070"
"308","TCGA-23-1118-01A-01W",0.63,1.92001925104849,TRUE,"NOISY SEGMENTATION","TCGA-23-1118-01","S0293689"
"51","TCGA-23-1123-01A-01W",0.78,2.95262581630622,TRUE,"NOISY SEGMENTATION","TCGA-23-1123-01","931070"
"303","TCGA-23-1123-01A-01W",0.77,2.97602228767204,TRUE,"NOISY SEGMENTATION","TCGA-23-1123-01","S0293689"
"52","TCGA-23-1124-01A-01W",0.73,3.30808010499761,TRUE,"NOISY SEGMENTATION","TCGA-23-1124-01","931070"
"317","TCGA-23-1124-01A-01W",0.73,3.31559081315171,TRUE,"NOISY SEGMENTATION","TCGA-23-1124-01","S0293689"
"90","TCGA-25-2396-01A-01D",0.8,3.15743858849656,TRUE,"NOISY SEGMENTATION","TCGA-25-2396-01","931070"
"91","TCGA-25-2396-01A-01W",0.81,3.16816577508027,TRUE,"NOISY SEGMENTATION","TCGA-25-2396-01","931070"
"92","TCGA-25-2397-01A-01D",0.87,1.96502525640998,TRUE,"NOISY SEGMENTATION","TCGA-25-2397-01","931070"
"93","TCGA-25-2397-01A-01W",0.88,1.96661381516071,TRUE,"NOISY SEGMENTATION","TCGA-25-2397-01","931070"
"94","TCGA-25-2398-01A-01D",0.57,4.10804040515669,TRUE,"NOISY SEGMENTATION","TCGA-25-2398-01","931070"
"95","TCGA-25-2398-01A-01W",0.56,4.1537630005883,TRUE,"NOISY SEGMENTATION","TCGA-25-2398-01","931070"
"113","TCGA-59-2348-01A-01D",0.62,3.29137054462711,TRUE,"NOISY SEGMENTATION","TCGA-59-2348-01","931070"
"114","TCGA-59-2348-01A-01W",0.68,3.33659923293227,TRUE,"NOISY SEGMENTATION","TCGA-59-2348-01","931070"
