"","Sampleid","Purity","Ploidy","Sex","Contamination","Flagged","Failed","Curated","Comment"
"34","X622175782193b9545690bdcc05a879b8_gdc_realn",0.73,4.19614003447634,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"35","db75518a1d499d7b92e546aab64e5ca1_gdc_realn",0.58,3.2220699674773,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"36","X9b9edbe396b1ce149ede6e423172dafe_gdc_realn",0.61,1.80625474616503,"FALSE",0,TRUE,FALSE,FALSE,"POOR GOF (77.5%);NOISY SEGMENTATION"
"37","X58c33ace853a426ebdb0c41de1710d35_gdc_realn",0.45,3.16120983948951,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"38","a084d221946fc2c5d2bf8f10f954b34a_gdc_realn",0.67,3.47796391949502,"FALSE",0.0214313579023546,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
"39","X63c015d525f2286367439074e11a5681_gdc_realn",0.62,1.66381011603661,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"40","X8a34d5bfa9e8635667511d8b738196a1_gdc_realn",0.72,2.98797607614753,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"41","X701aca66e988e8145df3c2a72fc0453a_gdc_realn",0.85,1.90280049143875,"FALSE",0.0159200223807718,TRUE,FALSE,FALSE,"POOR GOF (76.2%);NOISY SEGMENTATION;HIGH AT- OR GC-DROPOUT;POTENTIAL SAMPLE CONTAMINATION"
"42","e528602acbcfdbcd37040af535b4008f_gdc_realn",0.89,1.74189700917127,"FALSE",5.59362474839009e-05,TRUE,FALSE,FALSE,"POOR GOF (71.8%);NOISY SEGMENTATION"
"43","a72af5061b2ed431f1e32c69b0b46ae2_gdc_realn",0.87,2.5988341134995,"FALSE",8.11573849173439e-05,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"44","X627067d26ea31d490ed22314d4bbd08f_gdc_realn",0.73,1.72908757257082,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"45","ae8ac1bd92e34f28ee24c7c676df4dce_gdc_realn",0.77,3.64351673187457,"FALSE",8.29213920732752e-05,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"46","X122c753f67bd57bc7181214c4b0ae9bf_gdc_realn",0.85,2.93255627980133,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"47","X2a0df78db1047524146910205c6e94f4_gdc_realn",0.49,3.5163185193891,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"48","X6a75434428a29866cc39a2d255910eb6_gdc_realn",0.91,1.66927085857416,"FALSE",0,TRUE,FALSE,FALSE,"HIGH PURITY AND model.homozygous=FALSE;POOR GOF (77.3%);NOISY SEGMENTATION"
"49","X4a8474f7122242a1f299606fe5429f7e_gdc_realn",0.69,2.85688459497404,"FALSE",0.0112179683768939,TRUE,FALSE,FALSE,"POOR GOF (76.8%);NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
"50","def06f23a82f103e700f204cd1cb8073_gdc_realn",0.65,3.24003247501157,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"51","c5e615205cb6d9fd545e7ef0e9934a6a_gdc_realn",0.73,3.16780473878255,"FALSE",0.00229492370011775,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
"52","e3fe57f81ece6bab93f20c0c3b0e8804_gdc_realn",0.84,3.15380680750837,"FALSE",0.000266625789997298,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"53","c74977b0e8f289f707a972a8bd2ad18b_gdc_realn",0.76,2.58045909596072,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"54","X4a629f5598fef7c5773b050ab968a44c_gdc_realn",0.85,3.4280586746245,"Coverage: F VCF: M",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;HIGH AT- OR GC-DROPOUT"
"55","X837683c324871274fd81d716e08c077d_gdc_realn",0.75,2.58217908603823,"FALSE",0.0190141725399272,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
"56","X885951bd9513d39a36f69ff51c7959cc_gdc_realn",0.86,1.9037568287152,"FALSE",0.00352682725437782,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
"57","X591d17436a3315635c0c56f910b207ea_gdc_realn",0.44,2.86352257665885,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"58","cd8cb72e1524b0f74a4d320d3d367b45_gdc_realn",0.7,3.30364045597932,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"59","X3cf3819aa7c6eb554e8e0ec71ecb98b4_gdc_realn",0.79,1.95037013140988,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"60","X7967f4c28bc02727af9f52ea192d2679_gdc_realn",0.76,3.56444126128597,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"61","X8a6904a5dd83e8227cefff11fd1acf63_gdc_realn",0.54,2.83539014452974,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"62","aac842a0e83661702c1a98f63033a835_gdc_realn",0.87,1.839514285804,"FALSE",0.00406278549224104,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
"63","X87ce91415237ba85aa97ae964055bc5d_gdc_realn",0.52,4.1360205667313,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"64","e0bbcc1f7e743adfcc3784a17b863dd1_gdc_realn",0.74,1.75646446435915,"FALSE",0,TRUE,FALSE,FALSE,"POOR GOF (71.6%);NOISY LOG-RATIO;NOISY SEGMENTATION;HIGH AT- OR GC-DROPOUT"
"65","b83c6ffe9cac27172cbe348e0ecf9bf8_gdc_realn",0.67,1.95266031125047,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"66","X29b7944737b1c11be2b158eadae07307_gdc_realn",0.7,3.5646670468977,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"67","X8d439dc98525fd0ea35233f83b7406be_gdc_realn",0.71,1.74939059981554,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"68","f2843f34225956d19baae846c3bd0071_gdc_realn",0.76,1.82858647147607,"FALSE",0,TRUE,FALSE,FALSE,"EXCESSIVE LOH;NOISY SEGMENTATION"
"69","b79b1f435df5a5365d9523b52a78c058_gdc_realn",0.55,3.47275383667712,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"70","b289926eb433b763cf2d2b9ba606c83c_gdc_realn",0.46,3.28003252875511,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"71","X66b79146a08217af07912322c6248335_gdc_realn",0.88,2.05425949336064,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"72","a24d1e77a7e6c388c5e5750109c1787a_gdc_realn",0.88,1.64100981308893,"FALSE",0,TRUE,FALSE,FALSE,"EXCESSIVE LOH;NOISY SEGMENTATION"
"73","c22e135ff14a7375a41e6417145d7257_gdc_realn",0.77,3.74295855214306,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"74","b10bc1209c4828c3fd175fae79e1aeef_gdc_realn",0.67,4.32778228934592,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"75","X13ba14331e7b9d10b853903ec10ebe20_gdc_realn",0.74,1.93302045264695,"FALSE",0,TRUE,FALSE,FALSE,"NOISY SEGMENTATION"
"76","cbbe203ca58ce456d67d482b407e33f4_gdc_realn",0.61,3.6327904388242,"FALSE",0.00826157820143363,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
"77","X06f7898ab1721f327a4b12e66911c508_gdc_realn",0.83,1.70692620676487,"FALSE",0.0248743608013009,TRUE,FALSE,FALSE,"NOISY SEGMENTATION;POTENTIAL SAMPLE CONTAMINATION"
