"","SampleId","Purity_tumor_only","Ploidy_tumor_only","Purity_matching_normal","Ploidy_matching_normal"
"75","TCGA-24-2267-01A-01W",0.56,2.93194745580578,0.56,2.93158138288886
"76","TCGA-24-2271-01A-01W",0.68,1.86553222817314,0.67,1.86553587237081
"77","TCGA-24-2280-01A-01W",0.53,3.53590901006107,0.52,3.52426757593543
"78","TCGA-24-2281-01A-01W",0.5,3.62762901280855,0.5,3.63064751253302
"79","TCGA-24-2288-01A-01W",0.61,3.02042039790774,0.61,3.00110699818065
"80","TCGA-24-2289-01A-01W",0.59,2.50925131006267,0.58,2.55460780022204
"81","TCGA-24-2290-01A-01W",0.75,3.61889487790325,0.75,3.61892687528016
"82","TCGA-24-2293-01A-01W",0.55,2.5740738257325,0.55,2.54694193110637
"83","TCGA-24-2295-01A-01W",0.95,4.53383927836143,0.81,4.54532065807952
"84","TCGA-24-2298-01A-01W",0.72,2.58661622905576,0.72,2.58613289875525
"85","TCGA-25-1319-01A-01D",0.86,3.42428241976555,0.87,3.42536481802582
"86","TCGA-25-2042-01A-01W",0.51,2.8569556459839,0.47,2.90739735742315
"87","TCGA-25-2391-01A-01W",0.85,1.81781852779725,0.85,1.81773660892693
"88","TCGA-25-2392-01A-01W",0.64,4.64358039663623,0.61,4.66169098340216
"89","TCGA-25-2393-01A-01W",0.81,2.97899901363068,0.8,2.97889949249152
"90","TCGA-25-2396-01A-01D",0.8,3.15743858849656,0.81,3.15840212065801
"91","TCGA-25-2396-01A-01W",0.81,3.16816577508027,0.82,3.16780429651871
"92","TCGA-25-2397-01A-01D",0.87,1.96502525640998,0.87,1.96520077193796
"93","TCGA-25-2397-01A-01W",0.88,1.96661381516071,0.88,1.966211830399
"94","TCGA-25-2398-01A-01D",0.57,4.10804040515669,0.58,4.1375783492934
"95","TCGA-25-2398-01A-01W",0.56,4.1537630005883,0.56,4.15041208154459
"96","TCGA-25-2399-01A-01W",0.76,1.90771351056389,0.76,1.90770615749717
"97","TCGA-25-2400-01A-01W",0.72,4.05279519472174,0.72,4.05696553667785
"98","TCGA-25-2401-01A-01W",0.59,1.92308483265253,0.59,1.92324089752535
"99","TCGA-25-2404-01A-01W",0.59,3.07020480945672,0.58,3.07007471119939
"100","TCGA-25-2408-01A-01W",0.78,1.99496256166525,0.77,1.99492676630173
"101","TCGA-25-2409-01A-01W",0.7,3.81376811972018,0.7,3.81356292841863
"102","TCGA-29-2427-01A-01W",0.71,1.80465586496932,0.71,1.80653702845693
"104","TCGA-30-1853-01A-02W",0.92,2.52491197773732,0.93,2.52488278662518
