"","x"
"159","TCGA-55-8091-01A-11D"
"160","TCGA-55-8092-01A-11D"
"161","TCGA-55-8094-01A-11D"
"162","TCGA-55-8096-01A-11D"
"163","TCGA-55-8097-01A-11D"
"164","TCGA-55-8203-01A-11D"
"165","TCGA-55-8204-01A-11D"
"166","TCGA-55-8205-01A-11D"
"167","TCGA-55-8206-01A-11D"
"168","TCGA-55-8207-01A-11D"
"169","TCGA-55-8208-01A-11D"
"170","TCGA-55-8301-01A-11D"
"171","TCGA-55-8302-01A-11D"
"172","TCGA-55-8505-01A-11D"
"173","TCGA-55-8506-01A-11D"
"174","TCGA-55-8507-01A-11D"
"175","TCGA-55-8508-01A-11D"
"176","TCGA-55-8510-01A-11D"
"177","TCGA-55-8511-01A-11D"
"178","TCGA-55-8512-01A-11D"
"179","TCGA-55-8513-01A-11D"
"180","TCGA-55-8514-01A-11D"
"181","TCGA-55-8614-01A-11D"
"182","TCGA-55-8615-01A-11D"
"183","TCGA-55-8616-01A-11D"
"184","TCGA-55-8619-01A-11D"
"185","TCGA-55-8620-01A-11D"
"186","TCGA-55-8621-01A-11D"
"187","TCGA-55-A48X-01A-11D"
"188","TCGA-55-A48Y-01A-11D"
"189","TCGA-55-A48Z-01A-12D"
"190","TCGA-55-A490-01A-11D"
"191","TCGA-55-A491-01A-11D"
"192","TCGA-55-A492-01A-11D"
"193","TCGA-55-A493-01A-11D"
"194","TCGA-55-A494-01A-11D"
"195","TCGA-55-A4DF-01A-11D"
"196","TCGA-55-A4DG-01A-11D"
"197","TCGA-55-A57B-01A-12D"
"198","TCGA-62-8394-01A-11D"
"199","TCGA-62-8395-01A-11D"
"200","TCGA-62-8397-01A-11D"
"201","TCGA-62-8398-01A-11D"
"202","TCGA-62-8399-01A-21D"
"203","TCGA-62-8402-01A-11D"
"204","TCGA-62-A46O-01A-11D"
"205","TCGA-62-A46P-01A-11D"
"206","TCGA-62-A46R-01A-11D"
"207","TCGA-62-A46S-01A-11D"
"208","TCGA-62-A46U-01A-11D"
"209","TCGA-62-A46V-01A-11D"
